grid_id,c_bar,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,y_true_bar,c_hat,r_alignment,rank_negative
3055_46754,33941.4625400641,13,0.0,1.0,0.0,0.0,36741.38055889424,120953.28102408424,-87011.81848402016,1
3286_46873,56703.13869691507,13,0.0,1.0,0.0,0.0,56176.45793269231,120953.28102408424,-64250.14232716918,2
3314_46885,14588.94581330128,13,1.0,0.0,1.0,0.0,15865.38634314904,37251.42855313976,-22662.48273983848,3
3315_46939,9844.38871882512,13,0.0,0.0,1.0,0.0,7018.000356820913,30916.23235222246,-21071.84363339734,4
3313_46884,16049.316381209936,13,0.0,0.0,1.0,0.0,16386.767127403848,30916.23235222246,-14866.915971012526,5
3311_46889,19089.840244391024,13,5.0,0.0,0.0,0.0,19906.84855769231,32415.608761612395,-13325.768517221371,6
3310_46886,14046.411502153444,13,2.0,0.0,0.0,0.0,14165.613731971154,26902.798331542315,-12856.38682938887,7
3314_46887,11482.016564002404,13,1.0,0.0,0.0,0.0,12553.61463341346,24123.51305048859,-12641.496486486183,8
3313_46885,16089.233748998397,13,2.0,0.0,0.0,0.0,17945.61591045673,26902.798331542315,-10813.56458254392,9
3351_46983,13555.081830929488,13,1.0,0.0,0.0,0.0,12593.922325721154,24123.51305048859,-10568.4312195591,10
3222_47008,14815.092260116186,13,1.0,0.0,0.0,0.0,14605.38506610577,24123.51305048859,-9308.420790372404,11
3190_46978,11238.218825120191,13,0.0,0.0,0.0,0.0,10519.231708233174,20020.86714625119,-8782.648321130997,12
3308_46883,15453.977094601363,13,1.0,0.0,0.0,0.0,14827.307391826924,24123.51305048859,-8669.535955887226,13
3315_46886,11667.400284204728,13,0.0,0.0,0.0,0.0,12154.46228966346,20020.86714625119,-8353.46686204646,14
3299_46914,16490.40237505008,13,1.0,0.0,0.0,0.0,15094.076171875,24123.51305048859,-7633.110675438511,15
3312_46887,23466.28049879808,13,0.0,0.0,1.0,0.0,25605.53876201923,30916.23235222246,-7449.951853424383,16
3244_46887,12759.043256710738,13,0.0,0.0,0.0,0.0,11980.923490084137,20020.86714625119,-7261.82388954045,17
3149_47014,13280.51307091346,13,0.0,0.0,0.0,0.0,12247.38611778846,20020.86714625119,-6740.354075337727,18
3238_46934,13334.890837840543,13,0.0,0.0,0.0,0.0,14348.38408954327,20020.86714625119,-6685.976308410644,19
3246_46910,13498.30906951122,13,0.0,0.0,0.0,0.0,13735.385967548076,20020.86714625119,-6522.55807673997,20
